Sample	Genotype	Region	Country	Date	Host	D13	PinfSSR8	PinfSSR4	Pi04	Pi70	PinfSSR6	Pi63	PiG11	Pi02	PinfSSR11	PinfSSR2	Pi4B	Missing	Present
Italy_48	EU_23_A1	Europe	Italy	8/20/2018	S_lycopersicum	140/206/0	260/266/0	288/296/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_51	EU_23_A1	Europe	Italy	8/29/2018	S_lycopersicum	140/140/0	260/260/0	288/296/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_52	EU_23_A1	Europe	Italy	9/10/2018	S_lycopersicum	140/206/0	260/266/0	288/298/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_53	EU_23_A1	Europe	Italy	9/10/2018	S_lycopersicum	140/208/0	260/266/0	288/292/298	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_54	EU_23_A1	Europe	Italy	9/24/2018	S_lycopersicum	140/206/0	260/260/0	288/294/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_55	EU_23_A1	Europe	Italy	10/8/2018	S_lycopersicum	136/210/0	260/266/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/206/0	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_56	EU_13_A2	Europe	Italy	9/25/2018	S_lycopersicum	140/140/0	260/260/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Italy_57	EU_13_A2	Europe	Italy	9/25/2018	S_tuberosum	140/140/0	260/266/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Italy_58	EU_13_A2	Europe	Italy	9/25/2018	S_tuberosum	140/140/0	260/260/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Italy_59	EU_13_A2	Europe	Italy	9/25/2018	S_nigrum	140/140/0	260/266/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Italy_60	EU_13_A2	Europe	Italy	9/25/2018	S_nigrum	140/140/0	260/260/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Italy_61	EU_13_A2	Europe	Italy	9/25/2018	S_tuberosum	140/140/0	260/260/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/266/0	341/341/0	173/173/0	205/213/0	0	12
Italy_63	EU_13_A2	Europe	Italy	9/25/2018	S_tuberosum	140/140/0	260/260/0	284/292/294	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
Italy_74	EU_13_A2	Europe	Italy	6/20/2018	S_tuberosum	132/136/0	260/266/0	284/294/296	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	264/266/268	341/341/0	173/173/0	205/213/0	0	12
Italy_76	EU_23_A1	Europe	Italy	9/3/2018	S_tuberosum	140/206/0	260/260/0	288/294/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/213/0	0	12
Italy_77	EU_23_A1	Europe	Italy	11/2/2018	S_lycopersicum	140/206/0	260/260/0	288/294/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_78	EU_23_A1	Europe	Italy	11/2/2018	S_lycopersicum	140/206/0	260/266/0	288/294/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_79	EU_23_A1	Europe	Italy	11/3/2018	S_lycopersicum	140/206/0	260/266/0	296/300/302	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
Italy_80	Unknown	Europe	Italy	11/22/2018	S_lycopersicum	136/148/0	260/264/0	284/288/0	166/170/0	192/195/0	242/244/0	270/279/0	154/156/0	268/270/0	341/355/0	173/175/0	213/217/0	0	12
Italy_81	EU_23_A1	Europe	Italy	12/3/2018	S_tuberosum	140/206/0	260/266/0	288/294/300	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/213/0	0	12
Italy_82	EU_23_A1	Europe	Italy	11/30/2018	S_lycopersicum	140/206/0	260/260/0	296/300/302	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
MND3_14	EU_13_A2	Africa	Algeria	2014	S_lycopersicum	136/140/158	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	158/160/164	266/268/0	341/341/0	173/173/0	205/213/0	0	12
MNP5_12	EU_2_A1	Africa	Algeria	2012	S_tuberosum	136/136/0	260/264/266	288/290/292	166/170/0	192/195/0	242/244/0	270/273/279	154/156/208	258/268/0	341/355/0	173/173/0	217/217/0	0	12
MSC_11_0014B	EU_23_A1	NA	NA	NA	S_tuberosum	136/208/0	260/266/0	288/294/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
MSC_11_0014D	EU_23_A1	NA	NA	NA	NA	136/216/0	260/266/0	288/294/0	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
MSR4_13	EU_13_A2	Africa	Algeria	2013	NA	136/140/154	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	152/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
MZP23_13	EU_13_A2	Africa	Algeria	2013	S_tuberosum	136/140/154	260/260/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
NC1CELBR	US_23	N_America	US	2014	S_tuberosum	134/210/0	260/266/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
NC870	US_23	N_America	US	2014	S_lycopersicum	134/210/0	260/266/0	288/294/296	170/170/0	192/192/0	244/244/0	270/279/0	142/156/206	266/268/270	331/341/0	173/175/0	213/217/0	0	12
NL05015	EU_13_A2	NA	NA	NA	S_lycopersicum	136/154/0	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
NL05246	EU_13_A2	NA	NA	NA	NA	132/136/148	260/266/0	284/294/296	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
NL05353	EU_13_A2	NA	NA	NA	NA	136/154/0	260/266/0	284/294/0	166/170/0	192/192/0	240/244/0	273/279/0	154/160/0	266/268/0	341/341/0	173/173/0	205/213/0	0	12
