Sample	Genotype	Region	Country	Date	Host	D13	PinfSSR8	PinfSSR4	Pi04	Pi70	PinfSSR6	Pi63	PiG11	Pi02	PinfSSR11	PinfSSR2	Pi4B	Missing	Present
JFH68-16	Unknown	N_America	Mexico	2016	NA	210/212/0	264/264/0	291/299/0	166/170/0	189/192/0	244/244/0	279/279/0	156/156/0	266/268/0	341/356/0	173/175/0	217/217/0	0	12
JFH72-16	Unknown	N_America	Mexico	2016	NA	160/162/174	266/272/0	303/303/0	166/170/0	192/192/0	244/244/0	279/279/0	152/206/0	262/266/0	341/356/0	173/173/0	217/217/0	0	12
JFH93-16	Unknown	N_America	Mexico	2016	NA	114/114/0	260/264/0	289/293/0	166/170/0	192/192/0	234/244/0	270/273/0	156/162/0	266/268/0	341/356/0	173/175/0	213/217/0	0	12
JFH94-16	Unknown	N_America	Mexico	2016	NA	114/114/0	260/260/0	295/299/0	170/170/0	192/192/0	244/244/0	279/279/0	156/156/0	256/270/0	341/356/0	173/175/0	213/217/0	0	12
JFT7-16	Unknown	N_America	Mexico	2016	NA	174/176/0	264/266/0	291/291/0	170/170/0	192/192/0	242/244/0	279/279/0	156/206/0	266/266/0	341/356/0	173/173/0	217/217/0	0	12
JFT8-16	Unknown	N_America	Mexico	2016	NA	174/176/0	264/266/0	291/291/0	170/170/0	192/192/0	242/244/0	279/279/0	156/206/0	266/266/0	341/356/0	173/173/0	217/217/0	0	12
JFT9-16	Unknown	N_America	Mexico	2016	NA	114/114/0	260/264/0	289/293/0	166/170/0	192/192/0	234/244/0	270/273/0	156/162/0	266/268/0	341/356/0	173/175/0	213/217/0	0	12
SGF39-16	Unknown	N_America	Mexico	2016	NA	190/190/0	260/260/0	289/293/0	166/166/0	189/192/0	244/244/0	273/279/0	164/164/0	266/268/0	341/341/0	173/173/0	209/213/0	0	12
SGF4-16	Unknown	N_America	Mexico	2016	NA	150/150/0	260/260/0	291/293/0	166/170/0	189/192/0	244/244/0	270/279/0	162/212/0	266/268/0	341/341/0	173/173/0	213/213/0	0	12
SGF48	Unknown	N_America	Mexico	2016	NA	110/110/0	260/266/0	289/295/0	170/170/0	192/192/0	244/244/0	279/279/0	160/212/0	266/268/0	356/356/0	173/173/0	213/217/0	0	12
SGF57	Unknown	N_America	Mexico	2016	NA	210/212/0	260/266/0	291/295/0	166/170/0	189/189/0	242/244/0	270/279/0	160/162/0	266/266/0	341/341/0	173/173/0	209/223/0	0	12
SGF61	Unknown	N_America	Mexico	2016	NA	136/140/0	260/266/0	289/291/0	166/170/0	192/192/0	244/244/0	279/279/0	152/164/0	258/266/0	356/356/0	173/175/0	209/213/0	0	12
SGF76	Unknown	N_America	Mexico	2016	NA	136/228/230	264/266/0	289/289/0	166/170/0	192/192/0	242/244/0	279/279/0	152/206/0	268/268/0	341/356/0	173/175/0	209/225/0	0	12
SGF88-16	Unknown	N_America	Mexico	2016	NA	140/140/0	260/266/272	289/293/0	166/170/0	189/192/0	244/250/0	270/270/0	142/142/0	262/266/268	341/356/0	173/175/0	209/213/0	0	12
TG21	Unknown	N_America	Mexico	2015	NA	108/140/0	260/264/266	285/291/0	166/170/0	186/189/192	244/244/0	270/279/0	154/156/206	268/268/0	341/356/0	173/175/0	209/223/225	0	12
TT10	Unknown	N_America	Mexico	2015	NA	140/206/208	264/266/0	291/299/0	166/170/0	189/192/0	244/244/0	279/279/0	160/160/0	268/270/0	331/341/0	173/177/0	209/209/0	0	12
J107_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	264/264/0	285/291/0	166/170/0	192/192/0	242/244/0	273/273/0	134/134/0	258/266/0	331/356/0	173/173/0	213/213/0	0	12
J204_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	264/264/0	285/307/0	166/170/0	192/192/0	242/242/0	273/273/0	156/156/0	266/266/0	356/356/0	173/173/0	213/213/0	0	12
J207_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	264/264/0	285/291/0	166/170/0	192/192/0	242/244/0	273/273/0	134/134/0	258/266/0	331/356/0	173/173/0	213/213/0	0	12
J407_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	264/264/0	285/291/0	166/170/0	192/192/0	242/244/0	273/273/0	134/134/0	258/266/0	331/356/0	173/173/0	213/213/0	0	12
J507_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	264/264/0	285/291/0	166/170/0	192/192/0	242/244/0	273/273/0	134/134/0	258/266/0	331/356/0	173/173/0	213/213/0	0	12
J604_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	264/264/0	305/305/0	168/170/0	192/192/0	242/242/0	273/273/0	156/156/0	266/266/0	356/356/0	173/173/0	213/213/0	0	12
J707_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	264/264/0	283/303/0	166/170/0	192/192/0	242/242/0	273/273/0	156/156/0	266/266/0	356/356/0	173/173/0	213/213/0	0	12
J807_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	264/264/0	283/303/0	166/170/0	192/192/0	242/242/0	273/273/0	156/156/0	266/266/0	356/356/0	173/173/0	213/213/0	0	12
10H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
11F_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
11H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	291/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
12F_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
12H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
13F_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
13H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
14H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
1T_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
2H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
3H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
4H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
5H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
9H_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	289/291/0	166/170/0	192/192/0	236/236/0	273/273/0	134/156/0	264/268/0	341/356/0	173/173/0	213/213/0	0	12
Mich7005_1	Unknown	N_America	Mexico	2001_2010	NA	144/228/230	264/266/0	285/291/0	168/168/0	192/192/0	244/244/0	273/279/0	148/148/0	268/268/0	341/356/0	173/175/0	213/213/0	0	12
Mich7006_1	Unknown	N_America	Mexico	2001_2010	NA	108/136/0	260/264/0	285/297/0	166/170/0	192/192/0	242/242/0	279/279/0	156/156/0	266/270/0	341/356/0	173/175/0	205/217/0	0	12
Mich7007_1	Unknown	N_America	Mexico	2001_2010	NA	108/142/0	260/260/0	285/297/0	166/170/0	192/192/0	236/244/0	279/279/0	156/156/0	266/266/0	331/356/0	173/173/0	205/205/0	0	12
Mich7008_1	Unknown	N_America	Mexico	2001_2010	NA	108/228/230	264/264/0	285/285/0	166/170/0	192/192/0	242/244/0	273/273/0	156/164/0	266/268/0	341/356/0	173/175/0	213/213/0	0	12
Mich7012_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	266/266/0	295/297/0	168/168/0	192/192/0	236/244/0	273/279/0	156/156/0	266/268/0	356/356/0	173/175/0	213/217/0	0	12
Mich7014_1	Unknown	N_America	Mexico	2001_2010	NA	146/146/0	260/266/0	291/295/0	168/168/0	192/192/0	242/242/0	273/279/0	202/202/0	264/268/0	341/356/0	173/175/0	213/213/0	0	12
Mich7019_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	264/264/0	305/305/0	166/170/0	189/192/0	242/244/0	279/279/0	170/170/0	270/270/0	356/356/0	173/175/0	213/217/0	0	12
Mich7029_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/266/0	291/291/0	168/168/0	192/192/0	244/244/0	273/273/0	164/164/0	264/266/0	356/356/0	173/173/0	213/213/0	0	12
Mich7030_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	285/291/0	166/170/0	192/192/0	242/242/0	279/279/0	154/154/0	258/266/0	356/356/0	173/173/0	205/217/0	0	12
Mich7034_1	Unknown	N_America	Mexico	2001_2010	NA	136/228/230	260/260/0	285/303/0	166/170/0	189/192/0	242/244/0	279/279/0	154/164/0	266/268/0	341/356/0	173/173/0	205/205/0	0	12
Mich7035_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/260/0	291/301/0	166/170/0	192/192/0	244/244/0	279/279/0	156/156/0	266/266/0	341/356/0	173/173/0	217/225/0	0	12
Mich7039_1	Unknown	N_America	Mexico	2001_2010	NA	144/144/0	260/266/0	285/291/0	166/170/0	192/192/0	242/242/0	279/279/0	164/164/0	258/258/0	356/356/0	173/173/0	213/213/0	0	12
Mich7041_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/264/0	289/305/0	168/168/0	192/192/0	242/242/0	273/273/0	156/164/0	264/264/0	331/356/0	173/173/0	215/215/0	0	12
Mich7043_1	Unknown	N_America	Mexico	2001_2010	NA	228/230/0	260/264/0	285/285/0	166/170/0	192/192/0	246/246/0	279/279/0	164/202/0	268/268/0	356/356/0	173/173/0	213/217/0	0	12
Mich7045_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	264/264/0	285/301/0	166/170/0	192/192/0	244/244/0	273/279/0	156/156/0	266/268/0	356/356/0	173/173/0	217/217/0	0	12
Mich7047_1	Unknown	N_America	Mexico	2001_2010	NA	228/230/0	264/266/0	285/305/0	166/166/0	192/192/0	242/242/0	279/279/0	156/156/0	268/268/0	341/341/0	173/173/0	213/217/0	0	12
Mich7055_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	264/264/0	285/307/0	166/170/0	192/192/0	236/244/0	279/279/0	156/156/0	266/268/0	356/356/0	173/175/0	213/217/0	0	12
Mich7056_1	Unknown	N_America	Mexico	2001_2010	NA	108/228/230	264/264/0	285/291/0	166/170/0	192/192/0	242/242/0	273/273/0	160/164/0	268/268/0	341/356/0	173/173/0	213/213/0	0	12
Mich7057_1	Unknown	N_America	Mexico	2001_2010	NA	108/110/0	260/260/0	285/291/0	166/166/0	189/192/0	244/244/0	279/279/0	156/164/0	258/266/0	356/356/0	173/173/0	217/217/0	0	12
Mich7058_1	Unknown	N_America	Mexico	2001_2010	NA	108/110/0	260/260/0	285/291/0	166/166/0	189/192/0	244/244/0	279/279/0	156/162/0	258/266/0	356/356/0	173/173/0	217/217/0	0	12
Mich7059_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/264/0	285/291/0	166/170/0	192/192/0	244/244/0	279/279/0	156/164/0	268/270/0	341/356/0	173/173/0	205/213/0	0	12
Mich7060_1	Unknown	N_America	Mexico	2001_2010	NA	108/140/0	264/264/0	285/285/0	168/168/0	192/192/0	244/244/0	273/279/0	154/156/0	258/264/0	356/356/0	173/173/0	205/215/0	0	12
Mich7061_1	Unknown	N_America	Mexico	2001_2010	NA	108/228/230	264/266/0	285/285/0	166/170/0	192/192/0	242/244/0	273/279/0	164/164/0	266/268/0	356/356/0	173/175/0	213/217/0	0	12
Mich7062_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	264/264/0	291/291/0	168/168/0	192/192/0	244/244/0	279/279/0	156/156/0	266/266/0	356/356/0	173/173/0	217/217/0	0	12
Mich7063_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	264/264/0	291/291/0	168/168/0	192/192/0	244/244/0	279/279/0	156/156/0	266/266/0	356/356/0	173/173/0	217/217/0	0	12
Mich7068_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/264/0	285/293/0	166/170/0	192/192/0	244/244/0	273/279/0	156/156/0	268/268/0	356/356/0	173/175/0	205/213/0	0	12
Mich7071_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/264/0	285/293/0	166/170/0	192/192/0	244/244/0	273/279/0	156/156/0	268/268/0	356/356/0	173/175/0	205/213/0	0	12
Mich7072_1	Unknown	N_America	Mexico	2001_2010	NA	108/110/0	260/264/0	291/295/0	166/170/0	192/192/0	236/244/0	273/273/0	202/202/0	264/268/0	356/356/0	173/175/0	213/217/0	0	12
Mich7075_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/264/0	285/293/0	166/170/0	192/192/0	244/244/0	273/279/0	156/156/0	268/268/0	356/356/0	173/175/0	205/213/0	0	12
Mich7077_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/266/0	285/291/0	168/168/0	192/192/0	242/244/0	273/279/0	162/162/0	268/268/0	356/356/0	173/173/0	213/217/0	0	12
Mich7082_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/264/0	285/293/0	166/170/0	192/192/0	244/244/0	273/279/0	156/156/0	268/268/0	356/356/0	173/175/0	205/213/0	0	12
Mich7084_1	Unknown	N_America	Mexico	2001_2010	NA	110/110/0	260/266/0	285/291/0	168/168/0	192/192/0	242/244/0	273/279/0	162/162/0	268/268/0	356/356/0	173/173/0	213/217/0	0	12
Mich7089_1	Unknown	N_America	Mexico	2001_2010	NA	108/108/0	260/264/0	285/285/0	166/170/0	192/192/0	236/242/0	279/279/0	134/134/0	266/266/0	341/356/0	173/173/0	213/217/0	0	12
Mich7095_1	Unknown	N_America	Mexico	2001_2010	NA	228/230/0	260/264/0	291/297/0	166/170/0	192/192/0	242/244/0	273/279/0	154/202/0	268/268/0	341/356/0	173/175/0	213/213/0	0	12
PA-5_1	Unknown	N_America	Mexico	2001_2010	NA	228/230/0	260/266/0	289/311/0	166/170/0	192/192/0	244/244/0	279/279/0	156/164/0	266/270/0	356/356/0	173/173/0	205/205/0	0	12
T50_1	Unknown	N_America	Mexico	2007	NA	168/168/0	260/260/0	289/295/0	170/170/0	189/192/0	244/244/0	270/279/0	156/206/0	256/266/0	356/356/0	173/175/0	213/217/0	0	12
Tlax701_1	Unknown	N_America	Mexico	2007	NA	190/190/0	260/260/0	291/297/0	170/170/0	192/192/0	244/250/0	279/279/0	162/162/0	268/270/0	341/356/0	173/173/0	213/213/0	0	12
Tlax703_1	Unknown	N_America	Mexico	2007	NA	180/182/0	260/266/0	289/289/0	170/170/0	192/192/0	244/244/0	273/279/0	154/162/0	266/266/0	341/341/0	173/177/0	213/217/0	0	12
Tlax704_1	Unknown	N_America	Mexico	2007	NA	190/190/0	260/260/0	291/297/0	170/170/0	192/192/0	244/250/0	279/279/0	162/162/0	270/270/0	341/356/0	173/173/0	213/213/0	0	12
Tlax705_1	Unknown	N_America	Mexico	2007	NA	112/136/0	266/266/0	291/291/0	170/170/0	192/192/0	244/244/0	279/279/0	206/206/0	262/268/0	341/356/0	173/173/0	213/217/223	0	12
Tlax709_1	Unknown	N_America	Mexico	2007	NA	190/190/0	260/260/0	291/297/0	170/170/0	192/192/0	244/250/0	279/279/0	162/162/0	268/270/0	341/356/0	173/173/0	213/213/0	0	12
Tlax710_1	Unknown	N_America	Mexico	2007	NA	172/172/0	260/272/0	289/289/0	170/170/0	189/192/0	244/244/0	273/279/0	162/162/0	268/270/0	356/356/0	173/177/0	213/213/0	0	12
Tlax712_1	Unknown	N_America	Mexico	2007	NA	190/190/0	260/260/0	291/297/0	170/170/0	192/192/0	244/250/0	279/279/0	162/162/0	270/270/0	341/356/0	173/173/0	213/213/0	0	12
Tlax713_1	Unknown	N_America	Mexico	2007	NA	136/136/0	266/266/0	291/291/0	166/170/0	192/192/0	244/244/0	279/279/0	162/162/0	262/266/0	341/341/0	175/175/0	213/213/0	0	12
Tlax714_1	Unknown	N_America	Mexico	2007	NA	180/182/0	260/266/0	289/289/0	170/170/0	192/192/0	244/244/0	273/279/0	154/162/0	256/266/0	341/341/0	173/177/0	213/217/0	0	12
Tlax718_1	Unknown	N_America	Mexico	2007	NA	144/144/0	260/264/0	289/293/0	170/170/0	189/192/0	244/244/0	270/279/0	156/162/0	268/268/0	341/341/0	173/173/0	209/209/0	0	12
Tlax722_1	Unknown	N_America	Mexico	2007	NA	140/140/0	260/264/0	299/299/0	170/170/0	192/192/0	244/250/0	270/279/0	156/156/0	258/268/0	341/341/0	173/173/0	209/209/0	0	12
Tlax723_1	Unknown	N_America	Mexico	2007	NA	176/178/0	260/260/0	289/291/0	170/170/0	189/192/0	244/244/0	270/270/0	206/206/0	262/262/0	341/346/0	177/177/0	213/213/0	0	12
Tlax724_1	Unknown	N_America	Mexico	2007	NA	176/178/190	264/266/0	291/291/0	170/170/0	192/192/0	244/244/0	270/279/0	156/156/0	266/266/0	341/356/0	173/173/0	209/213/0	0	12
Tlax725_1	Unknown	N_America	Mexico	2007	NA	144/144/0	260/266/0	289/291/0	166/166/0	192/192/0	242/244/0	270/273/0	162/212/0	268/270/0	341/356/0	173/177/0	213/213/0	0	12
Tlax728_1	Unknown	N_America	Mexico	2007	NA	140/140/0	260/266/0	291/291/0	166/170/0	192/192/0	242/244/0	279/279/0	164/164/0	256/268/0	341/341/0	175/177/0	213/217/0	0	12
Tlax729_1	Unknown	N_America	Mexico	2007	NA	176/178/0	266/266/0	289/295/0	166/170/0	192/192/0	244/244/0	273/279/0	162/162/0	268/270/0	341/346/0	173/173/0	209/213/0	0	12
Tlax731_1	Unknown	N_America	Mexico	2007	NA	144/144/0	266/272/0	293/293/0	168/168/0	189/192/0	242/244/0	273/273/0	156/156/0	268/270/0	346/356/0	173/173/0	209/213/0	0	12
Tlax732_1	Unknown	N_America	Mexico	2007	NA	136/174/176	264/266/0	295/295/0	166/170/0	189/189/0	240/244/0	273/279/0	160/160/0	258/268/0	341/341/0	173/173/0	213/213/0	0	12
Tlax737_1	Unknown	N_America	Mexico	2007	NA	176/178/0	260/260/0	295/309/0	166/170/0	192/192/0	244/250/0	273/279/0	156/160/0	268/270/0	341/356/0	173/173/0	213/213/0	0	12
Tlax738_1	Unknown	N_America	Mexico	2007	NA	136/178/0	260/266/0	289/293/0	166/170/0	192/192/0	242/250/0	279/279/0	156/156/0	258/264/0	341/341/0	173/173/0	209/209/0	0	12
Tlax739_1	Unknown	N_America	Mexico	2007	NA	140/140/0	260/266/0	289/291/0	168/168/0	192/192/0	244/244/0	270/279/0	154/154/0	258/268/0	341/341/0	173/173/0	213/217/0	0	12
Tlax740_1	Unknown	N_America	Mexico	2007	NA	136/176/178	266/266/0	291/295/0	168/168/0	189/192/0	244/244/0	270/279/0	154/162/0	262/268/0	341/356/0	173/175/0	209/213/0	0	12
Tlax748_1	Unknown	N_America	Mexico	2007	NA	140/144/0	266/266/0	289/313/0	170/170/0	192/192/0	244/244/0	273/279/0	156/156/0	266/268/0	341/341/0	175/175/0	209/209/0	0	12
Tlax749_1	Unknown	N_America	Mexico	2007	NA	176/178/0	260/266/0	291/291/0	170/170/0	192/192/0	244/244/0	279/279/0	154/154/0	258/266/0	341/356/0	173/175/0	213/217/0	0	12
Tlax761_1	Unknown	N_America	Mexico	2007	NA	136/136/0	260/266/0	291/291/0	170/170/0	189/192/0	244/244/0	270/279/0	156/156/0	268/270/0	341/341/0	173/175/0	209/213/0	0	12
Tlax762_1	Unknown	N_America	Mexico	2007	NA	176/176/0	264/266/0	291/299/0	166/170/0	189/192/0	244/244/0	279/279/0	156/206/0	258/266/0	341/341/0	173/173/0	213/213/0	0	12
Pic_97008_1	Unknown	N_America	Mexico	1997	NA	112/112/0	260/266/0	289/289/0	166/170/0	192/192/0	244/244/0	279/279/0	166/200/0	266/268/0	341/356/0	173/173/0	213/225/0	0	12
Pic_97106_1	Unknown	N_America	Mexico	1997	NA	146/148/0	260/266/0	289/295/0	166/170/0	192/192/0	244/244/0	279/279/0	164/164/0	266/268/0	341/356/0	173/173/0	217/217/0	0	12
Pic_97111_1	Unknown	N_America	Mexico	1997	NA	136/136/0	266/266/0	289/291/0	166/170/0	192/192/0	244/244/0	279/279/0	156/206/0	268/268/0	341/356/0	173/173/0	213/213/0	0	12
Pic_97130_1	Unknown	N_America	Mexico	1997	NA	148/148/0	266/266/0	289/291/0	166/170/0	192/192/0	244/244/0	279/279/0	156/156/0	266/266/0	341/341/0	173/173/0	213/217/0	0	12
Pic_97136_1	Unknown	N_America	Mexico	1997	NA	144/144/0	260/266/0	291/293/0	166/170/0	189/189/0	244/252/0	273/273/0	156/164/0	266/266/0	341/356/0	173/173/0	213/213/0	0	12
Pic_97146_1	Unknown	N_America	Mexico	1997	NA	118/118/0	260/264/0	289/289/0	170/170/0	192/192/0	244/244/0	279/279/0	204/208/0	266/266/0	341/341/0	173/173/0	213/213/0	0	12
Pic_97149_1	Unknown	N_America	Mexico	1997	NA	140/140/0	260/264/0	289/289/0	166/170/0	192/192/0	244/244/0	273/279/0	156/206/0	266/268/0	341/341/0	173/173/0	209/213/0	0	12
Pic_97153_1	Unknown	N_America	Mexico	1997	NA	144/144/0	266/266/0	289/289/0	166/170/0	192/192/0	244/244/0	279/279/0	166/206/0	266/266/0	341/356/0	173/173/0	217/217/0	0	12
Pic_97159_1	Unknown	N_America	Mexico	1997	NA	140/140/0	260/260/0	289/289/0	166/170/0	189/192/0	240/244/0	279/279/0	164/204/0	266/268/0	341/356/0	173/173/0	217/217/0	0	12
Pic_97187_1	Unknown	N_America	Mexico	1997	NA	112/138/0	266/266/0	289/289/0	166/170/0	192/192/0	244/244/0	273/279/0	156/206/0	266/276/0	341/356/0	175/175/0	217/217/0	0	12
Pic_97310_1	Unknown	N_America	Mexico	1997	NA	136/144/0	260/264/266	291/293/299	166/170/0	189/192/0	244/244/0	279/279/0	154/160/162	258/268/0	341/346/356	173/175/177	209/213/0	0	12
Pic_97318_1	Unknown	N_America	Mexico	1997	NA	176/178/0	266/272/0	285/285/0	166/170/0	192/192/0	244/244/0	273/279/0	156/160/0	266/266/0	341/356/0	173/173/0	209/213/0	0	12
Pic_97335_1	Unknown	N_America	Mexico	1997	NA	112/134/0	260/266/0	289/295/0	168/168/0	192/192/0	244/244/0	279/279/0	160/206/0	266/268/0	341/356/0	173/173/0	209/213/0	0	12
Pic_97340_1	Unknown	N_America	Mexico	1997	NA	136/136/0	260/266/0	289/295/0	166/170/0	192/192/0	242/244/0	279/279/0	156/206/0	266/268/0	341/356/0	173/173/0	209/213/0	0	12
Pic_97423_1	Unknown	N_America	Mexico	1997	NA	134/140/150	260/266/0	289/293/295	166/170/0	192/192/0	242/244/0	279/279/0	156/158/206	266/266/0	341/341/0	173/173/0	213/213/0	0	12
Pic_97432_1	Unknown	N_America	Mexico	1997	NA	136/136/0	260/260/0	289/289/0	166/170/0	192/192/0	244/244/0	273/273/0	156/156/0	266/266/0	341/356/0	173/173/0	213/213/0	0	12
Pic_97438_1	Unknown	N_America	Mexico	1997	NA	110/166/0	260/266/0	291/291/0	168/168/0	189/192/0	244/244/0	273/279/0	156/208/0	266/268/0	341/356/0	173/173/0	217/221/0	0	12
Pic_97716_1	Unknown	N_America	Mexico	1997	NA	112/144/0	260/266/0	289/293/0	166/170/0	192/192/0	244/254/0	279/279/0	156/156/0	264/266/0	341/356/0	173/175/0	209/213/0	0	12
Pic_97727_1	Unknown	N_America	Mexico	1997	NA	136/136/0	260/260/0	289/289/0	168/168/0	192/192/0	244/252/0	279/279/0	156/160/0	268/268/0	341/356/0	173/173/0	213/213/0	0	12
Pic_97744_1	Unknown	N_America	Mexico	1997	NA	136/164/166	260/260/0	289/289/0	166/170/0	192/192/0	242/244/0	279/279/0	206/206/0	264/266/0	356/356/0	173/173/0	213/213/0	0	12
Pic_97748_1	Unknown	N_America	Mexico	1997	NA	136/164/166	260/260/0	289/289/0	166/170/0	192/192/0	242/244/0	279/279/0	156/206/0	264/266/0	356/356/0	173/173/0	213/213/0	0	12
Pic_97749_1	Unknown	N_America	Mexico	1997	NA	136/164/166	260/260/0	289/289/0	166/170/0	192/192/0	242/244/0	279/279/0	156/206/0	264/266/0	356/356/0	173/173/0	213/213/0	0	12
Pic_97750_1	Unknown	N_America	Mexico	1997	NA	136/164/166	260/260/0	289/289/0	166/170/0	192/192/0	242/244/0	279/279/0	156/206/0	264/266/0	356/356/0	173/173/0	213/213/0	0	12
Pic_97751_1	Unknown	N_America	Mexico	1997	NA	136/164/166	260/260/0	289/289/0	166/170/0	192/192/0	242/244/0	279/279/0	156/206/0	264/266/0	356/356/0	173/173/0	213/213/0	0	12
Pic_97785_1	Unknown	N_America	Mexico	1997	NA	136/142/0	260/266/0	289/289/0	170/170/0	192/192/0	244/244/0	279/279/0	156/166/0	266/270/0	356/356/0	173/173/0	213/213/0	0	12
Pic_97791_1	Unknown	N_America	Mexico	1997	NA	136/142/0	260/266/0	289/289/0	170/170/0	192/192/0	244/244/0	279/279/0	156/166/0	266/270/0	356/356/0	173/173/0	213/213/0	0	12
Pic_97793_1	Unknown	N_America	Mexico	1997	NA	136/142/0	260/266/0	289/289/0	170/170/0	192/192/0	244/244/0	279/279/0	156/166/0	266/270/0	356/356/0	173/173/0	213/213/0	0	12
CH-10	Unknown	N_America	Mexico	2003	S_tuberosum	140/140/0	260/260/0	293/293/0	166/170/0	189/189/0	240/254/0	279/279/0	208/208/0	258/258/0	341/356/0	173/175/0	217/221/0	0	12
CH-17	Unknown	N_America	Mexico	2003	S_tuberosum	138/140/0	260/260/0	291/291/0	166/170/0	189/189/0	240/254/0	279/279/0	208/208/0	258/268/0	341/356/0	173/175/0	217/217/0	0	12
CH-25	Unknown	N_America	Mexico	2003	S_tuberosum	140/140/0	260/260/0	291/291/0	166/170/0	189/189/0	240/254/0	279/279/0	208/208/0	258/268/0	341/358/0	173/175/0	217/217/0	0	12
J11	Unknown	N_America	Mexico	2003	S_tuberosum	108/136/0	264/266/0	285/285/0	166/170/0	189/192/0	244/244/0	273/279/0	156/210/0	266/266/0	331/356/0	173/173/0	213/213/0	0	12
J12	Unknown	N_America	Mexico	2003	S_tuberosum	144/144/0	260/260/0	295/297/0	166/170/0	192/192/0	244/244/0	279/279/0	156/156/0	266/266/0	341/341/0	173/173/0	213/213/0	0	12
